00000000	geographic feature		false
00000001	bedding-plane cave	A cavity developed along a bedding-plane and elongate in cross-section as a result.	false
00000002	anthropogenic geographic feature	An anthropogenic geographic feature is a geographic feature resulting from the influence of human beings on nature.	false
00000003	mine tailing	Mine tailings are the materials left over after the process of separating the valuable fraction from the uneconomic fraction (gangue) of an ore.	false
00000004	administrative region		false
00000005	first-order administrative region	A primary administrative division of a country, such as a state in the United States.	false
00000006	second-order administrative region	A subdivision of a first-order administrative division.	false
00000007	third-order administrative region	A subdivision of a second-order administrative division.	false
00000008	fourth-order administrative region	A subdivision of a third-order administrative division.	false
00000009	national geopolitical entity	A political association with effective dominion over a geographic area.	false
00000010	transport feature	A man-made feature constructed for the purpose of enabling the movement of humans, their animals or their vehicles.	false
00000011	garden	An enclosure for displaying selected plant or animal life.	false
00000012	hydrographic feature	A geographical feature associated with water.	false
00000013	cave system	A collection of caves interconnected by enterable passages or linked hydrologically or a cave with an extensive complex of chambers and passages.	false
00000014	canal	Artificial watercourse with no flow or a controlled flow used for navigation, drainage or irrigation.	false
00000015	ocean	Continuous saline-water bodies that surround the continents and fill the Earth's great depressions.	false
00000016	sea	A large expanse of saline water usually connected with an ocean.	false
00000017	saline hydrographic feature	A geographical feature associated with water with a halinity above 30 ppt (roughly 35 g/L).	false
00000018	dry river	A river that has either permanently or temporally lost its water.	false
00000019	saline lake	A lake whose water contains a considerable concentration of dissolved salts.	false
00000020	lake	A body of water or other liquid of considerable size contained on a body of land.	false
00000021	freshwater lake	A lake of whose water contains low concentrations of salts.	false
00000022	river	Natural freshwater surface streams of considerable volume and a permanent or seasonal flow, moving in a definite channel toward a sea, lake, or another river; any large streams, or ones larger than brooks or creeks, such as the trunk stream and larger branches of a drainage system.	false
00000023	stream	Linear body of water flowing on the Earth's surface.	false
00000024	intermittent stream	A stream whose flow is not continuous.	true
00000025	reservoir	An artificial body of water, often contained by a dam, constructed for the purpose of water storage.	false
00000026	well	A cylindrical hole, pit, or tunnel drilled or dug down to a depth from which water, oil, or gas can be pumped or brought to the surface.	false
00000027	spring	A point where groundwater or steam flows out of the ground, and is thus where the aquifer surface meets the ground surface or where there is a fissure.	false
00000028	sand pit quarry	A quarry from which sand is extracted.	false
00000029	watercourse	A flowing body of water.	false
00000030	dead cave	A cave without streams or drips of water.	false
00000031	wadi	A valley or ravine, bounded by relatively steep banks, which in the rainy season becomes a watercourse.	false
00000032	bay	An area of water bordered by land on three sides.	false
00000033	pond	A body of water, usually of smaller size than a lake.	false
00000034	rapids	An area of broken, fast flowing water in a stream, where the slope of the bed increases (but without a prominent break of slope which might result in a waterfall), or where a gently dipping bar of harder rock outcrops.	false
00000035	marsh	A wetland, featuring grasses, rushes, reeds, typhas, sedges, and other herbaceous plants (possibly with low-growing woody plants) in a context of shallow water.	false
00000036	irrigation canal	Artificial watercourse with no flow or a controlled flow used irrigation.	false
00000037	ditch	A small artificial watercourse dug for draining or irrigating the land.	false
00000038	lagoon	A sheet of saline water separated from the open sea by sand or shingle banks. The sheet of water between an offshore reef, especially of coral and mainland. The sheet of water within a ring or horseshoe shaped atoll.	false
00000039	fjord	A long and narrow sea inlet with high steeply sloped walled sides. A fjord is a landform created during a period of glaciation.	false
00000040	waterfall	A sudden descent of water over a step or ledge in the bed of a river.	false
00000041	tidal creek	A tidal water channel. Creeks may often dry to a muddy channel with little or no flow at low tide, but often with significant depth of water at high tide.	false
00000042	drainage canal	Artificial watercourse with no flow or a controlled flow used drainage.	false
00000043	wetland	An area that is inundated or saturated by surface or ground water at a frequency and duration sufficient to support, and that under normal circumstances do support, a prevalence of vegetation typically adapted for life in saturated soil conditions.	false
00000044	peatland	A wetland type that accumulates acidic peat, a deposit of dead plant material.	false
00000045	estuary	A semi-enclosed coastal body of water with one or more rivers or streams flowing into it, and with a free connection to the open sea.	false
00000046	hedge	A dense growth of shrubbery planted as a fence or boundary.	false
00000047	canopy		false
00000048	navigation canal	Artificial watercourse with no flow or a controlled flow used navigation.	false
00000049	volcanic hydrographic feature		true
00000050	geyser	A hot spring that erupts periodically, ejecting a column of hot water and steam into the air.	false
00000051	hot spring	A spring that is produced by the emergence of geothermally-heated groundwater from the Earth's crust.	false
00000052	crater lake	A lake contained within a volcanic crater.	false
00000053	freshwater marsh	A marsh associated with water that contains low concentrations of salts.	false
00000054	saline marsh	A marsh whose water contains a considerable quantity of dissolved salts.	false
00000055	saline evaporation pond	A shallow man-made pond designed to produce salt from sea water. The seawater is fed into large ponds and water is drawn out through natural evaporation which allows the salt to be subsequently harvested.	false
00000056	fishpond	A pond or lake used for the artificial culture of fish.	false
00000057	mangrove swamp	An swamp formed of trees and shrubs that grow in saline coastal habitats in the tropics and subtropics.	false
00000058	underground lake	A lake which is formed under the surface of the Earth. Such a lake may be associated with caves and aquifers and springs.	false
00000059	underground river	A river that is under the surface of the Earth.	false
00000060	underground stream	A stream that is under the surface of the Earth.	false
00000061	underground water body	A geographical feature associated with water that is under the surface of the earth.	false
00000062	populated place	Place or area with clustered or scattered buildings and a permanent human population.	false
00000063	water body	An accumulation of water of varying size.	false
00000064	road	An open way for the passage of vehicles, persons, or animals on land.	false
00000065	railway	A permanent way having one or more rails which provides a track for cars.	false
00000066	man-made tunnel	A tunnel constructed by human means.	false
00000067	cave	Naturally formed, subterranean open area or chamber.	false
00000068	tunnel	An underground or underwater passage.	false
00000069	distributary	A stream that branches off and flows away from a main stream channel. They are a common feature of river deltas.	false
00000070	constructed feature	A feature that has been constructed by deliberate human effort.	false
00000071	fault cave	A cave developed along a fault or fault zone, either by movement of the fault or by preferential solution along it.	false
