osd_id|site_name|version|marine_region|start_lat|start_lon|stop_lat|stop_lon|sample_depth|sample_date|water_temperature|salinity|ph|phospahte|nitrate|carbon_organic_particulate|nitrite|carbon_organic_dissolved_doc|nano_microplankton|downward_par|conductivity|primary_production_isotope_uptake|primary_production_oxygen|dissolved_oxygen_concentration|nitrogen_organic_particulate_pon|meso_macroplankton|bacterial_production_isotope_uptake|nitrogen_organic_dissolved_don|ammonium|silicate|bacterial_production_respiration|turbidity|fluorescence|pigment_concentration|picoplankton_flow_cytometry|other_params|remarks
test-site|test|6|test|0|0|0|0||2014-09-23|||not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|"test"
test chrome|test|6||90|90|90|90|1|2014-09-04|12|28|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|
test|test|6|test|98|89|87|87|1|2014-09-24|12|38|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|
test|test|6||76|76|45|45|1|2014-08-25|12|39|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|
test|test|6||89|89|80|80|1|2014-09-04|12|29|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|
osdtest|test|6||34|35|45|34|1|2014-07-02|12|38|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|
OSDS96_SÃ£oMiguel|Caloura|6|Atlantic|+37.4257|-23.3156|+37.4257|-23.3156||2014-06-21|18.5|35|7.6|to be measured|to be measured|not determined|to be measured|not determined|not determined|not determined|27.9|not determined|not determined|9.02|not determined|not determined|not determined|not determined|not determined|not determined|not determined||not determined|not determined|not determined|not determinded|
OSD99 TRIESTE (C1) North Adriatic Italy|OSD99_06_14_Trieste C1|6|North Adriatic Sea (C1, Gulf of Trieste, Italy), Mediterranean Sea|+45.70092|+13.71003|+45.70092|+13.71003|1|2014-06-21|20.821|33.931|8.27|0.012|2.321|to be measured|0.051|116.4417|1150000|1432.95|47.278|will not be measured|will not be measured|208.31|to be measured|10710.86|9.37|not determined|0.547|3.496|not determined|0.29||0.49|will not be measured|[{"param_name":"Bacterial esoenzymatic acitivity: Protease","param_value":"42.0","uom":"nM/h"},{"param_name":"Heterotrophic bacteria abundance by epifluorescence microscopy","param_value":"53.2","uom":" Billions of cells/ m^3"},{"param_name":"Cyanobacteria abundance by epifluorescence microscopy","param_value":"3.4","uom":"Billions of cells/ m^3"},{"param_name":"Bacterial esoenzymatic acitivity: Lipase","param_value":"4.1","uom":"nM/h"},{"param_name":"Bacterial esoenzymatic acitivity: Alkaline Phosphatase","param_value":"13.9","uom":"nM/h"},{"param_name":"Electron Transport Chain (Bacterial Respiration)","param_value":"0.410","uom":"Âµg C/ L h"},{"param_name":"Phytoplankton community","param_value":"4.99x10^09","uom":"Cells/m^3"}]|"I will submit later the values of POC and PN. I would like to append the floristic tables of the planktonik species, so please let me know what is the best way to do it.\n\nFrancesca Malfatti"
OSD99 TRIESTE (C1) North Adriatic Italy|OSD99_06_14_Trieste C1|6|North Adriatic Sea (C1, Gulf of Trieste, Italy), Mediterranean Sea|+45.70092|+13.71003|+45.70092|+13.71003|1|2014-06-21|20.821|33.931|8.27|0.012|2.321|to be measured|0.051|116.4417|1150000|1432.95|47.278|not determined|not determined|208.31|not determined|10710.86|9.37|not determined|0.547|3.496|not determined|0.29||0.49|not determined|[{"param_name":"Bacterial esoenzymatic acitivity: Protease","param_value":"42","uom":"nM/h"},{"param_name":"Cyanobacteria abundance  (epifluorescence microscopy)","param_value":"3.4","uom":"Billions of cells/ m^3"},{"param_name":"Heterotrophic bacteria abundance (epifluorescence microscopy)","param_value":"53.1","uom":"Billions of cells/ m^3"},{"param_name":"Bacterial esoenzymatic acitivity: Lipase","param_value":"4.1","uom":"nM/h"},{"param_name":"Bacterial esoenzymatic acitivity: Alkaline Phosphatase","param_value":"13.9","uom":"nM/h"},{"param_name":"Electron Transport System (Community Respiration)","param_value":"0.410","uom":"Âµg C/ L h"},{"param_name":"Phytoplankton community","param_value":"4.99x10^09","uom":"Cells/m^3"}]|
OSD98_06_14_Sao Jorge|OSD98_06_14_Sao Jorge|6|Northeast Atlantic|+38.64|-028.13|+38.64|-028.13|0.5|2014-06-21|18.7|35.6|not determined|to be measured|to be measured|not determined|to be measured|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|to be measured|to be measured|not determined|not determined|not determined|not determined|not determined|not determinded|"Bucket was rinsed with 5% bleach, rinsed 3x with fresh water, 6x with seawater, then subsampled into 5 clean water bottles, each rinsed with seawater 6x."
OSD97|OSD97-Faial|6|Northeast Atlantic|+38.52970|-28.601778|+38.52970|-28.601778|0.5|2014-06-21|16.9|35.6|8.082|to be measured|to be measured|not determined|to be measured|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|to be measured|to be measured|not determined|not determined|not determined|to be measured|not determined|not determinded|
OSD95|Singapore|6|Singapore Strait|1.2685|103.9168|1.2726|103.9206|1|2014-06-21|31|31.03|7.9|to be measured|not determined|not determined|not determined|not determined|not determined|not determined|53.3|not determined|not determined|5.58|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determinded|"have to ask for sampling time am or pm\nthe dissolved oxygen concentration of 5.58 is in mg/L "
OSD94|Saidia Marina|6|mediterranean sea|+35.5.10.87|-2.12.52.77|+35.5.10.87|-2.12.52.77||2014-06-06|23.6|31|8.01|0.27|0.15|1|0.02|252|will not be measured|will not be measured|51.37|will not be measured|will not be measured|7|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|0.54|will not be measured|[{"param_name":"DBO","param_value":"3","uom":"mg/l"},{"param_name":"organic matter","param_value":"17","uom":"mg/l"},{"param_name":"suspended matter","param_value":"86","uom":"mg/l"},{"param_name":"chlorosity","param_value":"20","uom":"mg/l"}]|
OSD93|El Jadida|6|Atlantic ocean|+33.15.34.6|-8.29.57.2|+33.15.34.6|-8.29.57.2|2|2014-06-06|19|3.92|8.36|will not be measured|111.76|will not be measured|0.0001|will not be measured|will not be measured|will not be measured|478000|will not be measured|will not be measured|0.78|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|0.5|will not be measured|8.61|will not be measured|will not be measured|will not be measured|not determinded|
OSD92|Casablanca|6|Atlantic ocean|+33.35.2.1|-7.42.2.3|+33.35.2.1|-7.42.2.3|2|2014-06-06|24|11.22|8.15|will not be measured|105.01|will not be measured|0.0001|will not be measured|will not be measured|will not be measured|44700|will not be measured|will not be measured|0.78|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|0.5|will not be measured|3.75|will not be measured|will not be measured|will not be measured|not determinded|
OSD91|El Oualidya|6|Lagoon |+32.44.48.3|-9.02.12.0|+32.44.48.3|-9.02.12.0|2|2014-06-06|19|3.82|8.15|will not be measured|107.93|will not be measured|0.0001|will not be measured|will not be measured|will not be measured|39600|will not be measured|will not be measured|0.7|will not be measured|will not be measured|will not be measured|will not be measured|will not be measured|0.5|will not be measured|3|will not be measured|will not be measured|will not be measured|not determinded|
OSD90|Etoliko Lagoon - A9 station|6|Etoliko Lagoon, Greece|+38.48435|+21.31689|+38.48435|+21.31689|2|2014-06-21|26.29|15.09|8.36|0.0116|0.016|not determined|0.0033|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|not determined|0.043|not determined|not determined|0.1|not determined|3.75|not determined|not determinded|"strong egg odor caused by hydrogen sulfide"
OSD9, SPOT|San Pedro Ocean Time-series station or SPOT|5|San Pedro Channel off the coast of Southern California||||||2014-06-18|19.2|33.56|not determined|to be measured|to be measured|will not be measured||will not be measured|1269916760|2058.448|4.54|will not be measured|will not be measured|222.449|will not be measured|not determined|0.00476|will not be measured||will not be measured|will not be measured|will not be measured|0.03|to be measured|to be measured|not determinded|
OSD9, SPOT|San Pedro Ocean Time-series station or SPOT|5|San Pedro Channel off the coast of Southern California||||||2014-06-18|19.2|33.56|not determined|to be measured|to be measured|will not be measured||will not be measured|1269916760|2058.448|4.54|will not be measured|will not be measured|222.449|will not be measured|not determined|0.00476|will not be measured||will not be measured|will not be measured|will not be measured|0.03|to be measured|to be measured|not determinded|
OSD87|Eastern English Channel|6|Eastern English Channel|+51.1953|+01.3405|+51.1953|+01.3405|9|2014-06-21|15.86|35.08|will not be measured|not determined|not determined|will not be measured|not determined|will not be measured|not determined|will not be measured|4.39|will not be measured|will not be measured|not determined|will not be measured|not determined|will not be measured|will not be measured|not determined|not determined|will not be measured|not determined|not determined|not determined|not determined|not determinded|
