osd_id|label|bioarchive_code|ena_acc|biosample_acc|start_lat|start_lon|stop_lat|stop_lon|water_depth|local_date|local_start|local_end|start_date_time_utc|end_date_time_utc|site_name|iho_label|mrgid|protocol|objective|platform|device|description|water_temperature|salinity|biome|biome_id|feature|feature_id|material|material_id|ph|phosphate|nitrate|carbon_organic_particulate|nitrite|carbon_organic_dissolved_doc|nano_microplankton|downward_par|conductivity|primary_production_isotope_uptake|primary_production_oxygen|dissolved_oxygen_concentration|nitrogen_organic_particulate_pon|meso_macroplankton|bacterial_production_isotope_uptake|nitrogen_organic_dissolved_don|ammonium|silicate|bacterial_production_respiration|turbidity|fluorescence|pigment_concentration|picoplankton_flow_cytometry|dist_coast_m|dist_coast_iso3_code|longhurst_code|longhurst_descr|longhurst_dist_degrees|lme_name|lme_dist_m
1|OSD1_2014-06-21_0m_NPL022|ABOKM42|ERS667668|SAMEA3275646|50.151|-4.13|50.151|-4.13|0|2014-06-21|11:10:00+00|11:25:00+00|2014-06-21T11:10:00+00|2014-06-21T11:25:00+00|L4|English Channel|2389|NPL022|To collect surface seawater on the summer solstice day from the L4 mooring in the Western English Channel (OSD1) and to filter the water using the standardized protocol NPL022. The filters will be sent to Germany and subsequently processed and analysed for the prokariotic fraction. The results will be part of the global campaign OSD data-set which will allow the scientific community to better understand the microbial diversity and function in the light of climate change assessment. The data-set so established will be used as a reference for future studies and the base for developing biotechnologies.|Research vessel - MBA SEPIA|10 L Niskin bottle|20 L of surface seawater (0-2m) were aliquoted and filtered through 5 sterivex cartridge filters using a peristaltic pump.|16.66|35.22|marine pelagic biome|01000023|surface water|00002042|sea water|00002149|NaN|NaN|NaN|NaN|NaN|NaN|NaN|734.55|NaN|NaN|NaN|245.46|NaN|NaN|NaN|NaN|NaN|NaN|NaN|0.47|NaN|NaN|NaN|17175|GBR|NECS|Coastal - NE Atlantic Shelves Province|0|Celtic-Biscay Shelf|0
2|OSD2_2014-06-20_0m_NPL022|ABOKL97|ERS667667|SAMEA3275645|48.7778|-3.9375|48.7778|-3.9375|0|2014-06-20|12:26:00+01|12:45:00+01|2014-06-20T11:26:00+00|2014-06-20T11:45:00+00|Roscoff - SOMLIT|English Channel|2389|NPL022|Our objective is to contribute to the OSD dataset on marine microbial diversity and functions and possibly its analysis. We are particularly interested by the structure and fucntions of prokaryotic and eukaryotic communities and their in situ interactions.|RV Neomysis|5L Niskin bottle|clear water|14.38|35.128|neritic epipelagic zone biome|01000042|coastal water body|02000049|coastal sea water|00002150|8.02|0.1|1.3|112.2|0.11|NaN|NaN|1362|NaN|NaN|NaN|282.7|14.3|NaN|NaN|NaN|0.58|0.9|NaN|NaN|NaN|1.22|NaN|5401|FRA|NECS|Coastal - NE Atlantic Shelves Province|0|Celtic-Biscay Shelf|0
3|OSD3_2014-06-20_0m_NPL022|ABOKL44|ERS667665|SAMEA3275643|54.18194|7.9|54.18194|7.9|0|2014-06-20|06:40:00+01|07:00:00+01|2014-06-20T05:40:00+00|2014-06-20T06:00:00+00|Helgoland|North Sea|2350|NPL022|OSD 2014 at Helgoland|Aade|10L Bucket|surface sample|14|32.591|marine biome|00000447|surface water|00002042|sea water|00002149|8.11|0.1|2.86|NaN|0.12|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|0.93|3.37|NaN|NaN|NaN|NaN|NaN|0|DEU|NECS|Coastal - NE Atlantic Shelves Province|0|North Sea|0
3|OSD3_2014-06-20_0m_NE08|ABOKM96|ERS667666|SAMEA3275644|54.18194|7.9|54.18194|7.9|0|2014-06-20|06:40:00+01|07:00:00+01|2014-06-20T05:40:00+00|2014-06-20T06:00:00+00|Helgoland|North Sea|2350|NE08|OSD2014 at Helgoland|Aade|10L Bucket|surface water sampling|14|32.591|marine biome|00000447|surface water|00002042|sea water|00002149|8.11|0.1|2.86|NaN|0.12|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|0.93|3.37|NaN|NaN|NaN|NaN|NaN|0|DEU|NECS|Coastal - NE Atlantic Shelves Province|0|North Sea|0
4|OSD4_2014-06-20_0m_NE08|""|ERS667663|SAMEA3275641|40.8080|14.25|40.8080|14.25|0|2014-06-20|10:00:00+01|12:00:00+01|2014-06-20T09:00:00+00|2014-06-20T11:00:00+00|LTER-MC|Tyrrhenian Sea|3386|NE08|Ocean Sampling Day performed during LTER MC research activity 2014|R/V Vettoria|Niskin bottle|This data submission refers to filters treated with the eukaryotes protocol.|23.3|36.88|marine biome|00000447|surface water|00002042|sea water|00002149|8.11|0.24|0.59|NaN|0.09|NaN|8918111000|NaN|53306.44746|NaN|NaN|200.59|NaN|1548|NaN|NaN|1548|1.86|NaN|NaN|1.9|NaN|NaN|2034|ITA|MEDI|Westerlies - Mediterranean Sea, Black Sea Province|0|Mediterranean Sea|0
4|OSD4_2014-06-20_0m_NPL022|ABOKM15|ERS667664|SAMEA3275642|40.8080|14.25|40.8080|14.25|0|2014-06-20|10:00:00+01|12:00:00+01|2014-06-20T09:00:00+00|2014-06-20T11:00:00+00|LTER-MC|Tyrrhenian Sea|3386|NPL022|Ocean Sampling Day performed during LTER MC research activity 2014|R/V Vettoria|Niskin bottle|This data submission refers to filters treated with the prokaryotes protocol.|23.3|36.88|marine biome|00000447|surface water|00002042|sea water|00002149|8.11|0.24|0.59|NaN|0.09|NaN|8918111000|NaN|53306.44746|NaN|NaN|200.59|NaN|1548|NaN|NaN|0.61|1.86|NaN|NaN|1.9|NaN|NaN|2034|ITA|MEDI|Westerlies - Mediterranean Sea, Black Sea Province|0|Mediterranean Sea|0
5|OSD5_2014-06-19_75m_NPL022|ABOKM52|ERS667661|SAMEA3275639|35.661|24.99|35.661|24.99|75|2014-06-19|13:00:00+02|15:00:00+02|2014-06-19T11:00:00+00|2014-06-19T13:00:00+00|Crete|Aegean Sea|3315|NPL022|Water Sampling for Prokaryotes|Research Vessel Alkyon|Niskin bottles|Water from the Deep Chlorophyll Maximum layer of the OSD5 station.|16.87|39.23|oceanic epipelagic zone biome|01000035|deep chlorophyll maximum layer|01000326|oligotrophic water|00002223|8.2|0.27|0.34|NaN|0.03|NaN|NaN|41.662|49.58|NaN|NaN|NaN|NaN|NaN|NaN|NaN|0.38|0.74|NaN|NaN|0.6431|NaN|NaN|25382|GRC|MEDI|Westerlies - Mediterranean Sea, Black Sea Province|0|Mediterranean Sea|0
5|OSD5_2014-06-19_1m_NPL022|ABOKL71|ERS667662|SAMEA3275640|35.661|24.99|35.661|24.99|1|2014-06-19|07:15:00+02|13:15:00+02|2014-06-19T05:15:00+00|2014-06-19T11:15:00+00|Crete|Aegean Sea|3315|NPL022|Water sampling for Prokaryotes.|Research Vessel Alkyon|Niskin bottles|Surface water sampling of the OSD5 station.|24.46|39.29|oceanic epipelagic zone biome|01000035|surface water|00002042|oligotrophic water|00002223|8.2|0.07|0.17|NaN|0.04|NaN|NaN|1217.4|58.14|NaN|NaN|NaN|NaN|NaN|NaN|NaN|0.38|0.47|NaN|NaN|-0.1116|NaN|NaN|25382|GRC|MEDI|Westerlies - Mediterranean Sea, Black Sea Province|0|Mediterranean Sea|0
6|OSD6_2014-06-21_0m_NPL022|ABOKM05|ERS667660|""|41.6666|2.8|41.6666|2.8|0|2014-06-21|10:30:00+01|11:30:00+01|2014-06-21T09:30:00+00|2014-06-21T10:30:00+00|Blanes|Balearic Sea|3322|NPL022|OSD sampling|"R/V ""Dolores"""|1 bucket, CTD, radiometer|surface sample|20.66|37.83|marine biome|00000447|coast|00000303|sea water|00002149|NaN|NaN|NaN|NaN|NaN|NaN|NaN|2055|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|0.14|0.15|NaN|932|ESP|MEDI|Westerlies - Mediterranean Sea, Black Sea Province|0.00438168821536961|Mediterranean Sea|0
7|OSD7_2014-06-21_0.1m_NPL022|ABOKL89|ERS667659|SAMEA3275638|-17.2894|-149.53985|-17.2894|-149.53985|0.1|2014-06-21|10:00:00-10|10:15:00-10|2014-06-21T20:00:00+00|2014-06-21T20:15:00+00|Moorea - Tiahura|||NPL022|Longterm coral reef monitoring programm at the Tiahura reef, Moorea, FRENCH Polynesia |none|none|none|27|37|marine reef biome|01000029|surface water|00002042|sea water|00002149|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|55.7|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|NaN|23919|PYF|SPSG|Westerlies - S. Pacific Subtropical Gyre Province|0||
