label	osd_id	local_date	water_depth	protocol	start_lat	start_lon	stop_lat	stop_lon
OSD1_2014-06-21_0m_NPL022	1	2014-06-21	0	NPL022	50.151	-4.13	50.151	-4.13
OSD2_2014-06-20_0m_NPL022	2	2014-06-20	0	NPL022	48.7778	-3.9375	48.7778	-3.9375
OSD2_2014-06-20_1m_NE08	2	2014-06-20	1	NE08	48.777778	-3.9375	48.777778	-3.9357
OSD3_2014-06-20_0m_NE08	3	2014-06-20	0	NE08	54.18194	7.9	54.18194	7.9
OSD3_2014-06-20_0m_NPL022	3	2014-06-20	0	NPL022	54.18194	7.9	54.18194	7.9
OSD4_2014-06-20_0m_NPL022	4	2014-06-20	0	NPL022	40.8080	14.25	40.8080	14.25
OSD4_2014-06-20_0m_NE08	4	2014-06-20	0	NE08	40.8080	14.25	40.8080	14.25
OSD5_2014-06-19_75m_NPL022	5	2014-06-19	75	NPL022	35.661	24.99	35.661	24.99
OSD5_2014-06-19_1m_NPL022	5	2014-06-19	1	NPL022	35.661	24.99	35.661	24.99
OSD6_2014-06-21_0m_NE08	6	2014-06-21	0	NE08	41.6666	2.8	41.6666	2.8
OSD6_2014-06-21_0m_NPL022	6	2014-06-21	0	NPL022	41.6666	2.8	41.6666	2.8
OSD7_2014-06-21_0.1m_NPL022	7	2014-06-21	0.1	NPL022	-17.2894	-149.53985	-17.2894	-149.53985
OSD9_2014-06-18_0m_NPL022	9	2014-06-18	0	NPL022	33.55	-118.4	33.55	-118.4
OSD9_2014-06-18_0m_NE08	9	2014-06-18	0	NE08	33.55	-118.4	33.55	-118.4
OSD10_2014-06-21_1m_NPL022	10	2014-06-21	1	NPL022	41.839834	-83.18995	41.839834	-83.18995
OSD11_2014-06-17_15m_NPL022	11	2014-06-17	15	NPL022	-67.344	-68.135	-67.344	-68.135
OSD13_2014-06-21_0m_NPL022	13	2014-06-21	0	NPL022	43.185000	27.936667	43.185000	27.936667
OSD14_2014-06-23_2m_NPL022	14	2014-06-23	2	NPL022	42.49	3.15	42.49	3.14
OSD14_2014-06-23_2m_NE08	14	2014-06-23	2	NE08	42.49	3.14	42.49	3.14
OSD15_2014-06-21_50m_NPL022	15	2014-06-21	50	NPL022	43.6861111	7.31567	43.6861111	7.31567
OSD15_2014-06-21_0m_NPL022	15	2014-06-21	0	NPL022	43.6861111	7.31567	43.6861111	7.31567
