osd_id,label,bioarchive_code,ena_acc,biosample_acc,start_lat,start_lon,stop_lat,stop_lon,water_depth,local_date,local_start,local_end,start_date_time_utc,end_date_time_utc,site_name,iho_label,mrgid,protocol,objective,platform,device,description,water_temperature,salinity,biome,feature,material,ph,phosphate,nitrate,carbon_organic_particulate,nitrite,carbon_organic_dissolved_doc,nano_microplankton,downward_par,conductivity,primary_production_isotope_uptake,primary_production_oxygen,dissolved_oxygen_concentration,nitrogen_organic_particulate_pon,meso_macroplankton,bacterial_production_isotope_uptake,nitrogen_organic_dissolved_don,ammonium,silicate,bacterial_production_respiration,turbidity,fluorescence,pigment_concentration,picoplankton_flow_cytometry
185,OSD185_2014-06-24_3m_NPL022,"",ERS667479,SAMEA3275470,51.481583,2.451483,51.481583,2.451483,3,2014-06-24,14:34:02+00,14:34:02+00,2014-06-24T14:34:02+00,2014-06-24T14:34:02+00,421,North Sea,2350,NPL022,During Lifewatch monitoring campaign we sampled for OSD as well. ,RV Simon Stevin,6 Niskins were deployed on a CTD-Rosette,OSD185station421RV Simon StevinNiskin2014-06-24T12:34:02Z/2014-06-24T12:34:02Z,16.1087,34.8998,Marine environment,"Belgian marine environment, sample taken at 3 meters depth",Sterile flask,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31.6838,NaN,NaN,NaN
184,OSD184_2014-06-24_3m_NPL022,"",ERS667480,SAMEA3275471,51.682917,2.4152,51.682717,2.414967,3,2014-06-24,18:06:27+00,18:07:22+00,2014-06-24T18:06:27+00,2014-06-24T18:07:22+00,W10,North Sea,2350,NPL022,During Lifewatch monitoring campaign we sampled for OSD as well. ,RV Simon Stevin,6 Niskins were deployed on a CTD-Rosette,OSD184stationW10RV Simon StevinNiskin2014-06-24T16:06:27Z/2014-06-24T16:07:22Z,15.8336,35.033,Marine environment,"Belgian marine environment, sample taken at 3 meters depth",Sterile flask,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.7885,NaN,NaN,NaN
183,OSD183_2014-06-24_3m_NPL022,"",ERS667481,SAMEA3275472,51.74835,2.698,51.74835,2.698,3,2014-06-24,21:58:17+00,21:58:17+00,2014-06-24T21:58:17+00,2014-06-24T21:58:17+00,W09,North Sea,2350,NPL022,During Lifewatch monitoring campaign we sampled for OSD as well. ,RV Simon Stevin,6 Niskins were deployed on a CTD-Rosette,OSD183stationW09RV Simon StevinNiskin2014-06-24T19:58:17Z/2014-06-24T19:58:17Z ,15.8014,35.0087,Marine environment,"Belgian marine environment, sample taken at 3 meters depth",Sterile flask,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.3221,NaN,NaN,NaN
182,OSD182_2014-06-24_3m_NPL022,"",ERS667482,SAMEA3275473,51.458433,2.350467,51.458433,2.350467,3,2014-06-24,13:16:32+00,13:16:32+00,2014-06-24T13:16:32+00,2014-06-24T13:16:32+00,W08,North Sea,2350,NPL022,During Lifewatch monitoring campaign we sampled for OSD as well. ,RV Simon Stevin,6 Niskins were deployed on a CTD-Rosette,p,15.7139,34.9975,Marine environment,"Belgian marine environment, sample taken at 3 meters depth",Sterile flask,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.8653,NaN,NaN,NaN
164,OSD164_2014-06-13_2m_NPL022,"","","",60.14333,-1.28250,60.14333,-1.28250,2,2014-06-13,10:00:00+00,10:00:00+00,2014-06-13T10:00:00+00,2014-06-13T10:00:00+00,Scalloway,,,NPL022,"",boat,bucket,"",12.2,35.1354,ENVO:00000447,ENVO:00002042,ENVO:00002010,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
188,OSD188_2014-06-24_0m_NPL022,"",ERS667477,SAMEA3275468,-32.0000,115.4167,-32.0000,115.4167,0,2014-06-24,05:48:00+08,06:24:00+08,2014-06-24T21:48:00+00,2014-06-24T22:24:00+00,Rottnest Island,Indian Ocean,1904,NPL022,IMOS National Reference Stations - OSD,"Research vessel, Linnaeus",10 L Niskin,marine surface water,21.7963,35.152,EnvO:01000023,EnvO:00002042,EnvO:00002010,NaN,0.1,0.1,NaN,NaN,NaN,NaN,NaN,49.946,NaN,NaN,218.21158,NaN,NaN,NaN,NaN,0.08,1.7,NaN,NaN,0.4,NaN,NaN
178,OSD178_2014-06-24_3m_NPL022,"",ERS667483,SAMEA3275474,51.580333,2.7897,51.580317,2.7897,3,2014-06-24,23:20:37+00,23:20:42+00,2014-06-24T23:20:37+00,2014-06-24T23:20:42+00,435,North Sea,2350,NPL022,During Lifewatch monitoring campaign we sampled for OSD as well.,RV Simon Stevin,6 Niskins were deployed on a CTD-Rosette,OSD178station435RV Simon StevinNiskin2014-06-24T21:20:37Z/2014-06-24T21:20:42Z,16.7589,34.4964,Marine environment,"Belgian marine environment, sample taken at 3 meters depth",Sterile flask,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,34.4327,NaN,NaN,NaN
177,OSD177_2014-06-24_3m_NPL022,"",ERS667484,SAMEA3275475,51.18575,2.701667,51.185917,2.702133,3,2014-06-24,11:35:57+01,11:37:07+01,2014-06-24T10:35:57+00,2014-06-24T10:37:07+00,120,North Sea,2350,NPL022,During Lifewatch monitoring campaign we sampled for OSD as well. ,RV Simon Stevin,6 Niskins were deployed on a CTD-Rosette,OSD177station120RV Simon StevinNiskin2014-06-24T09:35:57Z/2014-06-24T09:37:07Z ,18.7362,32.5834,Marine environment,"Belgian marine environment, sample taken at 3 meters depth",Sterile flask,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,33.3947,NaN,NaN,NaN
176,OSD176_2014-06-24_3m_NPL022,"",ERS667485,SAMEA3275476,51.2777,2.6135,51.277933,2.613667,3,2014-06-24,12:27:17+01,12:28:12+01,2014-06-24T11:27:17+00,2014-06-24T11:28:12+00,215,North Sea,2350,NPL022,During Lifewatch monitoring campaign we sampled for OSD as well. ,RV Simon Stevin,6 Niskins were deployed on a CTD-Rosette,OSD176station215RV Simon StevinNiskin2014-06-24T10:27:17Z/2014-06-24T10:28:12Z,18.1228,33.3699,Marine environment,"Belgian marine environment, sample taken at 3 meters depth",Sterile flask,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,30.4286,NaN,NaN,NaN
99,OSD99_2014-06-21_1m_NE08,"",ERS667568,SAMEA3275550,45.70092,13.71003,45.70092,13.71003,1,2014-06-21,11:24:00+01,12:31:00+01,2014-06-21T10:24:00+00,2014-06-21T11:31:00+00,C1,Adriatic Sea,3314,NE08,"To get insights in to the Eukaryotic community at the LTER sampling site C1 (Trieste, Italy, North Adriatic sea)",Research Vessel: VF RAFF 07,"5 L Niskin Bottle, PAR, CTD",Eukaryotic Community onto PC filters,20.821,33.931,ENVO:00000447,ENVO:00002042,ENVO:00002010,8.27,0.012,2.321,116.4,0.051,116.4417,1150000,1432.95,47.278,NaN,NaN,208.31,27.81,10710.86,9.37,NaN,0.547,3.496,NaN,0.29,NaN,0.49,NaN
