osd_id,ena_run_accession,sample_label,ena_sample_accession
185,ERR771029,OSD185_2014-06-24_3m_NPL022,ERS667479
184,ERR771030,OSD184_2014-06-24_3m_NPL022,ERS667480
183,ERR771031,OSD183_2014-06-24_3m_NPL022,ERS667481
182,ERR771032,OSD182_2014-06-24_3m_NPL022,ERS667482
178,ERR771034,OSD178_2014-06-24_3m_NPL022,ERS667483
177,ERR771035,OSD177_2014-06-24_3m_NPL022,ERS667484
176,ERR771036,OSD176_2014-06-24_3m_NPL022,ERS667485
175,ERR771037,OSD175_2014-06-24_3m_NPL022,ERS667486
174,ERR771038,OSD174_2014-06-25_3m_NPL022,ERS667487
173,ERR771039,OSD173_2014-06-25_3m_NPL022,ERS667488
172,ERR771040,OSD172_2014-06-25_3m_NPL022,ERS667489
186,ERR771028,OSD186_2014-06-21_2.4m_NPL022,ERS667478
171,ERR771041,OSD171_2014-06-25_3m_NPL022,ERS667490
170,ERR771042,OSD170_2014-06-25_3m_NPL022,ERS667491
123,ERR771085,OSD123_2014-06-22_4m_NPL022,ERS667543
169,ERR771044,OSD169_2014-06-21_0.1m_NPL022,ERS667492
168,ERR771045,OSD168_2014-06-21_2m_NPL022,ERS667493
167,ERR771046,OSD167_2014-06-21_0.1m_NPL022,ERS667494
166,ERR771047,OSD166_2014-06-21_0.5m_NPL022,ERS667495
165,ERR771048,OSD165_2014-06-23_2m_NPL022,ERS667496
163,ERR771049,OSD163_2014-06-20_2m_NPL022,ERS667497
162,ERR771050,OSD162_2014-06-23_1m_NPL022,ERS667498
159,ERR771051,OSD159_2014-06-21_2m_NPL022,ERS667499
158,ERR771052,OSD158_2014-06-21_0m_NPL022,ERS667500
157,ERR771053,OSD157_2014-06-20_1m_NPL022,ERS667502
156,ERR771054,OSD156_2014-06-21_1m_NPL022,ERS667503
155,ERR771055,OSD155_2014-06-21_1m_NPL022,ERS667506
154,ERR771056,OSD154_2014-06-20_1m_NPL022,ERS667507
153,ERR771057,OSD153_2014-06-21_0m_NPL022,ERS667508
152,ERR771059,OSD152_2014-06-20_1m_NPL022,ERS667509
152,ERR771058,OSD152_2014-06-20_5m_NPL022,ERS667511
151,ERR771060,OSD151_2014-06-21_0m_NPL022,ERS667514
150,ERR771061,OSD150_2014-06-21_0m_NPL022,ERS667515
149,ERR771064,OSD149_2014-06-21_0m_NPL022,ERS667517
148,ERR771065,OSD148_2014-06-21_0m_NPL022,ERS667518
147,ERR771066,OSD147_2014-06-21_0m_NPL022,ERS667519
146,ERR771067,OSD146_2014-06-21_5m_NPL022,ERS667520
145,ERR771068,OSD145_2014-06-21_0m_NPL022,ERS667521
