submission_id|osd_id|label|label_verb|start_lat|start_lon|stop_lat|stop_lon|start_lat_verb|start_lon_verb|stop_lat_verb|stop_lon_verb|start_geog|stop_geog|max_uncertain|water_depth|local_date|local_date_verb|local_start|local_end|protocol|objective|platform|platform_verb|device|description|water_temperature|salinity|biome|feature|material|curator|curation_remark|ph|ph_verb|phosphate|phosphate_verb|nitrate|nitrate_verb|carbon_organic_particulate|carbon_organic_particulate_verb|nitrite|nitrite_verb|carbon_organic_dissolved_doc|carbon_organic_dissolved_doc_verb|nano_microplankton|nano_microplankton_verb|downward_par|downward_par_verb|conductivity|conductivity_verb|primary_production_isotope_uptake|primary_production_isotope_uptake_verb|primary_production_oxygen|primary_production_oxygen_verb|dissolved_oxygen_concentration|dissolved_oxygen_concentration_verb|nitrogen_organic_particulate_pon|nitrogen_organic_particulate_pon_verb|meso_macroplankton|meso_macroplankton_verb|bacterial_production_isotope_uptake|bacterial_production_isotope_uptake_verb|nitrogen_organic_dissolved_don|nitrogen_organic_dissolved_don_verb|ammonium|ammonium_verb|silicate|silicate_verb|bacterial_production_respiration|bacterial_production_respiration_verb|turbidity|turbidity_verb|fluorescence|fluorescence_verb|pigment_concentration|pigment_concentration_verb|picoplankton_flow_cytometry|picoplankton_flow_cytometry_verb|other_params|remarks|raw|start_geom|stop_geom|bioarchive_code|ena_acc|biosample_acc|local_start_verb|local_end_verb
131|51|OSD51_12_20_13_Bocas del Toro (Panama)_NPL022_6_1m|OSD51_12_20_13_Bocas del Toro (Panama)_NPL022_6_1m|9.3485|-82.2660|9.3485|-82.2660|9.3485|-082.2660|9.3485|-082.2660|0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|NaN|2|2013-12-21|2013-12-21|10:06:00-05|10:12:00-05|NPL022|"The sampling activity will be part of a long term project named "" Marine Geo"""|"Research boat ""Loligo"""|""|Water sampler bottle Van Dorn 2.2 liters|Surface Water|29.1|34.6|Marine Pelagic|Coastal Water|Surface Water|rkottman|mass systematic update|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|51.2|51.2|NaN|not determined|NaN|not determined|182.4|182.4|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|"[{""param_name"":""Air Saturation"",""param_value"":""90.9"",""uom"":""%""}]"|{}||0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|""|""|""|10:06:00|10:12:00
132|51|OSD51_12_20_13_Bocas del Toro (Panama)_NPL022_6_1m|OSD51_12_20_13_Bocas del Toro (Panama)_NPL022_6_1m|9.3485|-82.2660|9.3485|-82.2660|9.3485|-082.2660|9.3485|-082.2660|0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|NaN|2|2013-12-21|2013-12-21|10:13:00-05|10:19:00-05|NPL022|"The sampling activity will be part of a long term project named "" Marine Ge"""|"Research Boat ""Loligo"""|""|Water sampler bottle Van Dorn 2.2 liters|Surface Water|29.1|34.6|Marine Pelagic|Coastal Water|Surface Water|rkottman|mass systematic update|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|51.1|51.1|NaN|not determined|NaN|not determined|181.8|181.8|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|"[{""param_name"":""Air Saturation"",""param_value"":""95.6"",""uom"":""%""}]"|{}||0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|""|""|""|10:13:00|10:19:00
133|51|OSD51_12_20_13_Bocas del Toro (Panama)_NPL022_8_1m|OSD51_12_20_13_Bocas del Toro (Panama)_NPL022_8_1m|9.3485|-82.2660|9.3485|-82.2660|9.3485|-082.2660|9.3485|-082.2660|0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|NaN|2|2013-12-21|2013-12-21|10:20:00-05|10:26:00-05|NPL022|"The sampling activity will be part of a long term project named ""Marine Geo"""|"Research Boat ""Loligo"""|""|Water sampler bottle Van Dorn 2.2 liters|Surface Water|29.1|34.6|Marine Pelagic|Coastal Water|Surface Water|rkottman|mass systematic update|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|51.2|51.2|NaN|not determined|NaN|not determined|179|179|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|"[{""param_name"":""Air Saturation"",""param_value"":""96.0"",""uom"":""%""}]"|{}||0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|""|""|""|10:20:00|10:26:00
130|51|OSD51_12_20_13_Bocas del Toro (Panama)_NPL022_5_1m|OSD51_12_20_13_Bocas del Toro (Panama)_NPL022_5_1m|9.3485|-82.2660|9.3485|-82.2660|9.3485|-082.2660|9.3485|-082.2660|0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|NaN|2|2013-12-20|2013-12-20|10:28:00-05|11:00:00-05|NPL022|"The sampling activity will be part of a long term project named ""Marine Geo"""|"Research Boat ""Loligo"""|""|Water sampler bottle Van Dorn 2.2 liters|Surface water|29.1|34.6|Marine Pelagic|Coastal Water|Surface Water|rkottman|mass systematic update|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|51.2|51.2|NaN|not determined|NaN|not determined|180.9|180.9|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|"[{""param_name"":""Air saturation"",""param_value"":""94.5"",""uom"":""%""}]"|{}||0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|""|""|""|10:28:00|11:00:00
129|51|OSD51_06_21_14_Bocas del Toro (Panama)_NPL022_8_2m|OSD51_06_21_14_Bocas del Toro (Panama)_NPL022_8_2m|9.3485|-82.2660|9.3485|-82.2660|9.3485|-082.2660|9.3485|-082.2660|0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|NaN|2|2014-06-21|2014-06-21|11:20:00-05|11:23:00-05|NPL022|"The sampling activity will be part of a long term project named ""Marine Geo"""|"Research boat ""Loligo"""|""|Water sampler bottle Van Dorn 2.2 liters|Surface Water|29.1|34.6|Marine pelagic|Coastal Water|Surface Water|rkottman|mass systematic update|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|52.7|52.7|NaN|not determined|NaN|not determined|193.7|193.7|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|"[{""param_name"":""Secchi Disk"",""param_value"":""10.5"",""uom"":""meter""}]"|{}||0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|""|ERS667613|""|11:20:00|11:23:00
125|51|OSD51_06_21_14_Bocas del Toro (Panama)_NPL022_6_2m|OSD51_06_21_14_Bocas del Toro (Panama)_NPL022_6_2m|9.3485|-82.2660|9.3485|-82.2660|9.3485|-082.2660|9.3485|-082.2660|0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|NaN|2|2014-06-21|2014-06-21|11:13:00-05|11:17:00-05|NPL022|"The sampling activity will be part of a long term project named "" Marine Geo"""|"Research Boat ""Loligo"""|""|Water sampler bottle Van Dorn 2.2 liters|Surface Water|29.1|34.6|Marine Pelagic|Coastal Water|Surface Water|rkottman|mass systematic update|8.14|8.14|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|52.7|52.7|NaN|not determined|NaN|not determined|170.8|170.8|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|"[{""param_name"":""Secchi Disk"",""param_value"":""10.5"",""uom"":""meter""}]"|{}||0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|""|ERS667610|""|11:13:00|11:17:00
124|51|OSD51-06-21-14_Bocas del Toro (Panama)_NPL022_5_2m|OSD51-06-21-14_Bocas del Toro (Panama)_NPL022_5_2m|9.3485|-82.2660|9.3485|-82.2660|9.3485|-082.2660|9.3485|-082.2660|0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|NaN|2|2014-06-21|2014-06-21|11:08:00-05|11:12:00-05|NPL022|"The sampling activity will be part of a long term project named ""Marine Geo"""|"Research boat ""Loligo"""|""|Water sampler bottle Van Dorn 2.2 liter|Surface Water|29.1|34.6|Marine Pelagic|Coastal Water|Surface Water|rkottman|mass systematic update|8.14|8.14|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|52.7|52.7|NaN|not determined|NaN|not determined|179.3|179.3|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|"[{""param_name"":""Secchi Disc"",""param_value"":""10.5"",""uom"":""meter""}]"|{}||0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|""|ERS667611|""|11:08:00|11:12:00
128|51|OSD51_06_21_14_Bocas del Toro (Panama)_NPL022_7_2m|OSD51_06_21_14_Bocas del Toro (Panama)_NPL022_7_2m|9.3485|-82.2660|9.3485|-82.266|9.3485|-082.2660|9.3485|-082.266|0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|NaN|2|2014-06-21|2014-06-21|11:17:00-05|11:19:00-05|NPL022|"The sampling will be part of a long term project name ""Marine Geo"""|"Research Boat ""Loligo"""|""|Water sampler bottle Van Dorn 2.2 liters|Surface Water|29.1|34.6|Marine Pelagic|Coastal Water|Surface Water|rkottman|mass systematic update|8.15|8.15|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|52.4|52.4|NaN|not determined|NaN|not determined|192.5|192.5|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|"[{""param_name"":""Secchi Disk"",""param_value"":""10.2"",""uom"":""meter""}]"|{}||0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|""|ERS667612|""|11:17:00|11:19:00
110|51|OSD51_06_21_14_Bocas del Toro (Panama)_NPL022_1_2m|OSD51_06_21_14_Bocas del Toro (Panama)_NPL022_1_2m|9.3485|-82.2660|9.3485|-82.2660|9.3485|-082.2660|9.3485|-082.2660|0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|NaN|2|2014-06-21|2014-06-21|10:44:00-05|10:50:00-05|NPL022|"The sampling activity will be part of a long term project named "" Marine Geo Project"""|"Research Boat ""Loligo"|""|Water sampling bottle Van Dorn 2.2 liters|Surface Water|29.1|34.6|Marine Pelagic|Costal Water|Surface Water|rkottman|mass systematic update|8.07|8.07|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|52.7|52.7|NaN|not determined|NaN|not determined|172.02|172.02|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|"[{""param_name"":""Secchi Disk"",""param_value"":""10.5"",""uom"":""meters""}]"|{}||0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|""|ERS667614|""|10:44:00|10:50:00
121|51|OSD51_06_21_14_Bocas del Toro (Panama)_NPL022_2_2m|OSD51_06_21_14_Bocas del Toro (Panama)_NPL022_2_2m|9.3485|-82.2660|9.3485|-82.2660|9.3485|-082.2660|9.3485|-082.2660|0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|NaN|2|2014-06-21|2014-06-21|10:51:00-05|10:54:00-05|NPL022|"The sampling activity will be part of a long term project named "" Marine Geo"""|"Reserach Boat ""Loligo"""|""|Water sampling bottle Van Dorn 2.2 liters|Surface Water|29.1|34.6|Marine pelagic|Costal Water|Surface water|rkottman|mass systematic update|8.12|8.12|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|52.6|52.6|NaN|not determined|NaN|not determined|182.4|182.4|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|NaN|not determined|"[{""param_name"":""Secchi Disk"",""param_value"":""10.5"",""uom"":""meter""}]"|{}||0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|0101000020E61000001B2FDD24069154C0DF4F8D976EB22240|""|ERS667615|""|10:51:00|10:54:00
