Sample	barcode-sorting.total.reads	barcode-sorting.read.pairs.1	barcode-sorting.read.pairs.2	barcode-sorting.max.length	barcode-sorting.mean.length	barcode-sorting.min.length	adapter-clipping.total.reads	adapter-clipping.read.pairs.1	adapter-clipping.read.pairs.2	adapter-clipping.max.length	adapter-clipping.mean.length	adapter-clipping.min.length	primer-clipping.total.reads	primer-clipping.read.pairs.1	primer-clipping.read.pairs.2	primer-clipping.max.length	primer-clipping.mean.length	primer-clipping.min.length	read-merging.total.reads	read-merging.max.length	read-merging.mean.length	read-merging.min.length	quality-trimming.total.reads	quality-trimming.max.length	quality-trimming.mean.length	quality-trimming.min.length
Sample_515F-806R-OSD1	85962	42981	42981	291	290	290	85962	42981	42981	291	290	214	85460	42730	42730	272	270	209	42721	281	252	190	42622	281	252	101
Sample_515F-806R-OSD10	160972	80486	80486	290	289	289	160972	80486	80486	290	288	202	158634	79317	79317	271	269	212	79290	279	253	167	79125	279	252	101
Sample_515F-806R-OSD100-1m-depth	98622	49311	49311	291	290	290	98622	49311	49311	291	290	290	97980	48990	48990	272	270	270	48977	334	253	163	48864	334	252	103
Sample_515F-806R-OSD100-20m-depth	33658	16829	16829	290	289	289	33658	16829	16829	290	289	289	33206	16603	16603	271	269	269	16602	258	253	247	16573	258	252	105
Sample_515F-806R-OSD101	77084	38542	38542	289	288	288	77084	38542	38542	289	288	191	73088	36544	36544	270	268	246	36536	256	252	227	36467	256	252	108
Sample_515F-806R-OSD102	243182	121591	121591	288	287	287	243182	121591	121591	288	286	197	230128	115064	115064	269	267	185	115043	300	252	166	114777	300	252	101
Sample_515F-806R-OSD103	84798	42399	42399	291	290	290	84798	42399	42399	291	290	201	84338	42169	42169	272	270	185	42162	282	253	166	42049	282	252	101
Sample_515F-806R-OSD105	61816	30908	30908	290	289	289	61816	30908	30908	290	289	235	61000	30500	30500	271	269	223	30494	255	253	204	30452	255	252	101
Sample_515F-806R-OSD106-sea-water-bottom	82782	41391	41391	290	289	289	82782	41391	41391	290	289	242	81796	40898	40898	271	269	269	40894	336	253	247	40830	336	252	109
Sample_515F-806R-OSD106-surface	58048	29024	29024	291	290	290	58048	29024	29024	291	290	207	57644	28822	28822	272	270	223	28820	276	252	171	28756	276	252	103
Sample_515F-806R-OSD107	57292	28646	28646	291	290	290	57292	28646	28646	291	290	213	56948	28474	28474	272	270	193	28463	270	252	174	28394	270	252	101
Sample_515F-806R-OSD108	92236	46118	46118	290	289	289	92236	46118	46118	290	289	207	90788	45394	45394	271	269	201	45385	257	252	166	45322	257	252	101
Sample_515F-806R-OSD109	59676	29838	29838	291	290	290	59676	29838	29838	291	290	191	59332	29666	29666	272	270	193	29664	270	252	174	29586	270	252	101
Sample_515F-806R-OSD11-Dec-2012	126828	63414	63414	289	288	288	126828	63414	63414	289	288	192	120680	60340	60340	270	268	268	60320	257	252	139	60202	257	252	119
Sample_515F-806R-OSD11-Dec-2013	140806	70403	70403	291	290	290	140806	70403	70403	291	290	225	140184	70092	70092	272	270	205	70079	255	252	186	69955	255	252	122
Sample_515F-806R-OSD11-July-2013	133872	66936	66936	288	287	287	133872	66936	66936	288	287	199	125848	62924	62924	269	267	203	62915	293	252	174	62808	293	252	112
Sample_515F-806R-OSD110	53314	26657	26657	290	289	289	53314	26657	26657	290	289	208	52572	26286	26286	271	269	242	26281	337	253	223	26232	337	252	103
Sample_515F-806R-OSD111	82584	41292	41292	291	290	290	82584	41292	41292	291	290	195	82072	41036	41036	272	270	196	41027	257	252	166	40944	257	252	118
Sample_515F-806R-OSD113	1964	982	982	290	289	289	1964	982	982	290	289	289	1934	967	967	271	269	269	967	254	253	252	967	254	252	106
Sample_515F-806R-OSD114	592	296	296	289	288	288	592	296	296	289	288	288	588	294	294	270	268	268	294	254	253	252	294	254	252	150
Sample_515F-806R-OSD115	10428	5214	5214	288	287	287	10428	5214	5214	288	287	287	10070	5035	5035	269	267	267	5033	270	253	246	5021	270	252	146
Sample_515F-806R-OSD116	39718	19859	19859	291	290	290	39718	19859	19859	291	290	263	39538	19769	19769	272	270	243	19766	260	253	224	19731	260	252	133
Sample_515F-806R-OSD117	112140	56070	56070	290	289	289	112140	56070	56070	290	289	208	110410	55205	55205	271	269	212	55188	306	253	174	55081	306	252	100
Sample_515F-806R-OSD118	97484	48742	48742	289	288	288	97484	48742	48742	289	288	199	95288	47644	47644	270	268	211	47639	265	253	166	47547	265	252	100
Sample_515F-806R-OSD122	122298	61149	61149	288	287	287	122298	61149	61149	288	287	198	115836	57918	57918	269	267	190	57902	317	253	158	57783	317	252	100
Sample_515F-806R-OSD123	62068	31034	31034	291	290	290	62068	31034	31034	291	290	200	61742	30871	30871	272	270	180	30865	264	252	146	30790	264	252	100
Sample_515F-806R-OSD124	106244	53122	53122	290	289	289	106244	53122	53122	290	288	199	104746	52373	52373	271	269	219	52365	257	253	150	52271	257	253	103
Sample_515F-806R-OSD125	92034	46017	46017	289	288	288	92034	46017	46017	289	288	203	87466	43733	43733	270	268	234	43723	257	252	160	43639	257	252	103
Sample_515F-806R-OSD126	96110	48055	48055	288	287	287	96110	48055	48055	288	286	208	90600	45300	45300	269	267	193	45290	255	252	146	45197	255	252	104
Sample_515F-806R-OSD127	80988	40494	40494	291	290	290	80988	40494	40494	291	290	210	80680	40340	40340	272	270	190	40334	271	252	171	40269	271	252	106
Sample_515F-806R-OSD128	153844	76922	76922	290	289	289	153844	76922	76922	290	289	208	151424	75712	75712	271	269	232	75694	306	252	149	75562	306	252	101
Sample_515F-806R-OSD129	94388	47194	47194	289	288	288	94388	47194	47194	289	287	202	88978	44489	44489	270	268	190	44475	296	252	148	44380	296	252	100
Sample_515F-806R-OSD13	128458	64229	64229	290	289	289	128458	64229	64229	290	289	208	126538	63269	63269	271	269	193	63250	349	252	166	63098	349	252	101
Sample_515F-806R-OSD130	105388	52694	52694	288	287	287	105388	52694	52694	288	286	185	99768	49884	49884	269	267	193	49874	280	252	174	49776	280	252	100
Sample_515F-806R-OSD131	59014	29507	29507	291	290	290	59014	29507	29507	291	290	212	58800	29400	29400	272	270	202	29394	264	252	147	29336	264	252	107
Sample_515F-806R-OSD132	65518	32759	32759	290	289	289	65518	32759	32759	290	289	210	64692	32346	32346	271	269	190	32334	311	252	171	32289	311	252	106
Sample_515F-806R-OSD133	76234	38117	38117	289	288	288	76234	38117	38117	289	288	208	72060	36030	36030	270	268	248	36026	309	253	171	35954	309	252	100
Sample_515F-806R-OSD14	105624	52812	52812	289	288	288	105624	52812	52812	289	287	201	99456	49728	49728	270	268	190	49718	257	252	171	49625	257	252	113
Sample_515F-806R-OSD141	3598	1799	1799	290	288	272	3598	1799	1799	290	288	260	3546	1773	1773	271	268	240	1773	254	252	221	1771	254	252	148
Sample_515F-806R-OSD142	41516	20758	20758	291	290	290	41516	20758	20758	291	290	203	41286	20643	20643	272	270	270	20637	256	253	174	20582	256	253	118
Sample_515F-806R-OSD143	90374	45187	45187	290	289	289	90374	45187	45187	290	289	208	88974	44487	44487	271	269	190	44481	312	253	167	44413	312	253	100
Sample_515F-806R-OSD144	8620	4310	4310	289	288	288	8620	4310	4310	289	288	288	8318	4159	4159	270	268	268	4158	258	253	251	4146	258	252	101
Sample_515F-806R-OSD145	114750	57375	57375	288	287	287	114750	57375	57375	288	287	211	108324	54162	54162	269	267	223	54147	257	253	172	54040	257	253	101
Sample_515F-806R-OSD146	73812	36906	36906	291	290	290	73812	36906	36906	291	290	207	73402	36701	36701	272	270	221	36698	261	252	160	36642	261	252	116
Sample_515F-806R-OSD147	129006	64503	64503	290	289	289	129006	64503	64503	290	289	210	127094	63547	63547	271	269	190	63533	264	253	141	63393	264	252	109
Sample_515F-806R-OSD148	70262	35131	35131	289	288	288	70262	35131	35131	289	288	210	67246	33623	33623	270	268	252	33620	262	253	166	33563	262	252	108
Sample_515F-806R-OSD149	86864	43432	43432	288	287	287	86864	43432	43432	288	287	187	81364	40682	40682	269	267	190	40667	314	253	171	40576	314	253	109
Sample_515F-806R-OSD15-50m-depth	83206	41603	41603	291	290	290	83206	41603	41603	291	290	208	82856	41428	41428	272	270	252	41417	333	253	137	41361	333	252	115
Sample_515F-806R-OSD15-surface	133632	66816	66816	288	287	287	133632	66816	66816	288	286	197	126598	63299	63299	269	267	177	63278	291	253	158	63138	291	252	103
Sample_515F-806R-OSD150	82512	41256	41256	291	290	290	82512	41256	41256	291	290	224	81832	40916	40916	272	270	204	40904	286	253	185	40780	286	252	102
Sample_515F-806R-OSD151	494	247	247	290	289	289	494	247	247	290	289	289	492	246	246	271	269	269	246	276	253	252	245	276	253	252
Sample_515F-806R-OSD152-10m-depth	74866	37433	37433	291	290	290	74866	37433	37433	291	290	213	74422	37211	37211	272	270	193	37202	338	252	174	37138	338	252	114
Sample_515F-806R-OSD152-1m-depth	62738	31369	31369	289	288	288	62738	31369	31369	289	288	207	59224	29612	29612	270	268	202	29604	254	252	183	29560	254	252	133
Sample_515F-806R-OSD152-5m-depth	82022	41011	41011	288	287	287	82022	41011	41011	288	287	208	77630	38815	38815	269	267	213	38808	267	252	165	38739	267	252	102
Sample_515F-806R-OSD153	81216	40608	40608	290	289	289	81216	40608	40608	290	289	233	79602	39801	39801	271	269	213	39791	321	252	166	39702	293	252	101
Sample_515F-806R-OSD154	19348	9674	9674	289	288	288	19348	9674	9674	289	288	262	18734	9367	9367	270	268	242	9365	261	253	223	9345	261	252	126
Sample_515F-806R-OSD155-12-8m-depth	22604	11302	11302	291	290	290	22604	11302	11302	291	290	290	22452	11226	11226	272	270	270	11222	254	253	252	11207	254	252	122
Sample_515F-806R-OSD155-1m-depth	51082	25541	25541	288	287	287	51082	25541	25541	288	287	210	49050	24525	24525	269	267	267	24523	257	252	158	24484	257	252	114
