myosd_id,label,place_name,start_lat,start_lon,River_basin_Sea
273,MYOSD273_2016-06_1,"Eidersperrwerk, Eider",54.26765962,8.844435692,Eider
274,MYOSD274_2016-06_1,"Hamburg,Kuhm•À_hlenteich",53.56566,10.025807,Elbe
275,MYOSD275_2016-06_1,"Hilders, Ulster",50.57863127,9.99195613,Weser
279,MYOSD279_2016-06_1,Ochtum-Huchting,53.06027778,8.749722222,Weser
280,MYOSD280_2016-06_1,"Magdeburg, Elbe",52.11551671,11.63596896,Elbe
281,MYOSD281_2016-06_1,"Wollersum, Eider",54.33111111,8.991944444,Eider
283,MYOSD283_2016-06_1,Auf der Br•À_cke - Pagelsee,53.367684,12.889678,Elbe
285,MYOSD285_2016-06_1,"Kiel, Schwentine",54.328328,10.180398,Schlei/Trave
286,MYOSD286_2016-06_1,Ostsee,54.68222222,13.49833333,Baltic Sea
291,MYOSD291_2016-06_1,Wilhelmshaven Innenhafen,53.51487,8.156144,North Sea
292,MYOSD292_2016-06_1,"St•À_tzkow, Oder",52.9820044,14.1920033,Oder
294,MYOSD294_2016-06_1,Rostock,54.425,12.36888889,Baltic Sea
295,MYOSD295_2016-06_1,"Welse, Vierraden",53.0977994,14.2935473,Oder
296,MYOSD296_2016-06_1,Nationalpark Nieders_chsisches Wattenmeer,53.502651,8.096066,North Sea
297,MYOSD297_2016-06_1,"Zeez, Warnow",53.968586,12.128402,Warnow/Peene
298,MYOSD298_2016-06_1,W•À_rschnitz,50.71702186,12.74357744,Elbe
299,MYOSD299_2016-06_1,Gro_e Wehle,54.56443506,8.960293651,Eider
301,MYOSD301_2016-06_1,"Sankt Peter-Ording, Nordsee",54.31631744,8.599517822,North Sea
303,MYOSD303_2016-06_1,Stadthafen Rostock,54.092558,12.123669,Warnow/Peene
304,MYOSD304_2016-06_1,"Weissenhaus, Ostsee",54.30604964,10.75592523,Baltic Sea
307,MYOSD307_2016-06_1,"Eiderm•À_ndung, Dithmarschen",54.25761888,8.8472058,North Sea
308,MYOSD308_2016-06_1,Hiddensee,54.58311105,13.11091039,Baltic Sea
310,MYOSD310_2016-06_1,"T_nning, Eidersperrwerk",54.264167,8.845472,North Sea
312,MYOSD312_2016-06_1,"Niederwartha (Br•À_cke), T_nnichtgrundbach",51.094766,13.605253,Elbe
313,MYOSD313_2016-06_1,"Zingst, Bodden",54.4318172,12.6913869,Baltic Sea
314,MYOSD314_2016-06_1,"Saasnitz, Ostsee",54.516265,13.653784,Baltic Sea
315,MYOSD315_2016-06_1,"Werder (Havel), Gro_er Zernsee",52.3956683,12.9283283,Elbe
316,MYOSD316_2016-06_1,B•À_sum am Hauptstrand / Perlebucht,54.1332721,8.837434995,North Sea
317,MYOSD317_2016-06_1,"Wieck a.d. Dar_, Hafen",54.539444,12.801667,Baltic Sea
318,MYOSD318_2016-06_1,"Vitte, Ostsee",54.5760835,13.1017355,Baltic Sea
319,MYOSD319_2016-06_1,"Weser, Bremen",53.06348649,8.838130999,Weser
320,MYOSD320_2016-06_1,"Billerbeck, Bokel",53.39361879,8.784252155,Weser
322,MYOSD322_2016-06_1,Schwedt / Querfahrt,53.07173355,14.32489558,Oder
323,MYOSD323_2016-06_1,"M•À_nzbach, Freiberg",50.93128616,13.33618937,Elbe
324,MYOSD324_2016-06_1,"Warnow, Oberlauf, nahe Niex",54.0414775,12.1580949,Warnow/Peene
