osd_id	ena_acc	envo_biome	envo_feature	envo_material
OSD191	ERS667474	marine pelagic biome	surface water layer	sea water
OSD190	ERS667475	marine pelagic biome	surface water layer	sea water
OSD189	ERS667476	marine pelagic biome	surface water layer	sea water
OSD188	ERS667477	marine pelagic biome	surface water layer	sea water
OSD186	ERS667478	freshwater river biome	brackish estuary	brackish water
OSD185	ERS667479		surface water layer	sea water
OSD184	ERS667480	marine biome	surface water layer	sea water
OSD183	ERS667481	marine biome	surface water layer	sea water
OSD182	ERS667482	marine biome	surface water layer	sea water
OSD178	ERS667483	marine biome	surface water layer	sea water
OSD177	ERS667484	marine biome	surface water layer	sea water
OSD176	ERS667485	marine biome	surface water layer	sea water
OSD175	ERS667486	marine biome	surface water layer	sea water
OSD174	ERS667487	marine biome	surface water layer	sea water
OSD173	ERS667488	marine biome	surface water layer	sea water
OSD172	ERS667489	marine biome	surface water layer	sea water
OSD171	ERS667490	marine biome	surface water layer	sea water
OSD170	ERS667491	marine biome	surface water layer	sea water
OSD169	ERS667492	marine biome	surface water layer	sea water
OSD168	ERS667493	marine biome	surface water layer	coastal water
OSD167	ERS667494	marine biome	fjord	coastal water
OSD166	ERS667495	marine pelagic biome	pelagic isothermal surface	oligotrophic water
OSD165	ERS667496	marine biome	sea loch	sea water
OSD163	ERS667497	marine biome	surface water layer	ocean water
OSD162	ERS667498	marine biome	surface water layer	sea water
OSD159	ERS667499	marine biome	surface water layer	sea water
OSD158	ERS667500	marine biome	surface water layer	sea water
OSD157	ERS667501	marine pelagic biome	fjord	sea water
OSD157	ERS667502	marine pelagic biome	fjord	sea water
OSD156	ERS667503	marine pelagic biome	fjord	sea water
OSD156	ERS667504	marine pelagic biome	fjord	sea water
OSD155	ERS667505	marine pelagic biome	fjord	sea water
OSD155	ERS667506	marine pelagic biome	fjord	sea water
OSD154	ERS667507	marine pelagic biome	surface water layer	sea water
OSD153	ERS667508	marine biome	surface water layer	coastal water
OSD152	ERS667509	neritic epipelagic zone biome	natural harbor	coastal water
OSD152	ERS667510	neritic epipelagic zone biome	natural harbor	coastal water
OSD152	ERS667511	neritic epipelagic zone biome	natural harbor	coastal water
OSD152	ERS667512	neritic epipelagic zone biome	natural harbor	coastal water
OSD151	ERS667513	marine biome	surface water layer	seawater
OSD151	ERS667514	marine biome	surface water layer	sea water
OSD150	ERS667515	marine biome	lagoon	coastal water
OSD149	ERS667516	marine biome	surface water layer	seawater
OSD149	ERS667517	marine biome	lagoon	coastal water
OSD148	ERS667518	estuarine biome	surface water layer	sea water
OSD147	ERS667519	marine biome	surface water layer	sea water
OSD146	ERS667520	marine biome	surface water layer	sea water
OSD145	ERS667521	marine biome	surface water layer	sea water
OSD144	ERS667522	marine biome	surface water layer	sea water
