ena_acc	biosample_acc	bioarchive_code	description	site_name	objective	platform	device	osd_id	label	start_lat	start_lon	stop_lat	stop_lon	water_depth	local_date	local_start	local_end	start_date_time_utc	end_date_time_utc	iho_label	mrgid	protocol	water_temperature	salinity	biome	biome_id	feature	feature_id	material	material_id	ph	phosphate	nitrate	carbon_organic_particulate	nitrite	carbon_organic_dissolved_doc	nano_microplankton	downward_par	conductivity	primary_production_isotope_uptake	primary_production_oxygen	dissolved_oxygen_concentration	nitrogen_organic_particulate_pon	meso_macroplankton	bacterial_production_isotope_uptake	nitrogen_organic_dissolved_don	ammonium	silicate	bacterial_production_respiration	turbidity	fluorescence	pigment_concentration	picoplankton_flow_cytometry	dist_coast_m	dist_coast_iso3_code	longhurst_code	longhurst_biome	longhurst_label	longhurst_dist_degrees	lme_name	lme_dist_m	osd_meow_ecoregion	meow_ecoregion	meow_province	meow_realm
ERS667565	SAMEA3275547	ABOKM19	Surface water sample from the OSD100 station.	Crete - GOS	Water sampling for prokaryotes.	Research Vessel Alkyon	Niskin bottles	100	OSD100_2014-06-22_1m_NPL022	35.35	25.29	35.35	25.29	1	22/06/14	10:00:00+02	12:30:00+02	2014-06-22T08:00:00Z	2014-06-22T10:30:00Z	Aegean Sea	3315	NPL022	24.21	39.05	oceanic epipelagic zone biome	1000035	surface water	2042	oligotrophic water	2223	8.2	0.01	0.05	0	0.04	NA	NA	312.83	57.59	NA	NA	NA	NA	NA	NA	NA	0.01	0.68	NA	NA	0.043	NA	NA	1498	GRC	MEDI	Westerlies	Mediterranean Sea, Black Sea Province	0	Mediterranean Sea	0	osd_er_3	Aegean Sea	Mediterranean Sea	Temperate Northern Atlantic
ERS667564	SAMEA3275546	ABOKL61	Surface Sample	Quinta do Lorde	OSD 2014 at Madeira Island	Land	ACID WASHED RECIPIENT	101	OSD101_2014-06-21_0m_NPL022	32.741808	-16.711281	32.741808	-16.711281	0	21/06/14	11:05:00+00	11:10:00+00	2014-06-21T11:05:00Z	2014-06-21T11:10:00Z	North Atlantic Ocean	1912	NPL022	20.5	37	marine biome	447	surface water	2042	sea water	2149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NASE	Westerlies	N. Atlantic Subtropical Gyral Province (East) (STGE)	0	NA	NA	osd_er_7	Azores Canaries Madeira	Lusitanian	Temperate Northern Atlantic
ERS667563	SAMEA3275545	ABOKL45	OSD102-MARINA DO FUNCHAL	Marina do Funchal	OSD2014 at Madeira Island	Ground	ACID WASHED RECIPIENT	102	OSD102_2014-06-21_0m_NPL022	32.64605	-16.910158	32.64605	-16.910158	0	21/06/14	12:00:00+00	12:05:00+00	2014-06-21T12:00:00Z	2014-06-21T12:05:00Z	North Atlantic Ocean	1912	NPL022	20.8	36	marine biome	447	surface water	2042	sea water	2149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NASE	Westerlies	N. Atlantic Subtropical Gyral Province (East) (STGE)	0.008192887	NA	NA	osd_er_7	Azores Canaries Madeira	Lusitanian	Temperate Northern Atlantic
ERS667562	SAMEA3275544	ABOKN06	OSD103-PORTO DA CRUZ @ MADEIRA_ATLANTIC OCEAN	Porto da Cruz	OSD2014 at Madeira Island	Ground	ACID WASHED RECIPIENT	103	OSD103_2014-06-21_0m_NPL022	32.7747	-16.828664	32.7747	-16.828664	0	21/06/14	10:15:00+00	10:20:00+00	2014-06-21T10:15:00Z	2014-06-21T10:20:00Z	North Atlantic Ocean	1912	NPL022	20.2	37	marine biome	447	surface water	2042	sea water	2149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NASE	Westerlies	N. Atlantic Subtropical Gyral Province (East) (STGE)	0.029532657	NA	NA	osd_er_2	Azores Canaries Madeira	Lusitanian	Temperate Northern Atlantic
ERS667561	SAMEA3275543	ABOKM11	measured as depth below seaâ© surface. ice thickness: 1.9 m	Cambridge Bay, Nunavut,	As part of the Arctic Science partnership, the Cambridge Bay campaign aims to investigate the physical, chemical, and biological interactions between atmosphere, sea ice, and ocean	92, ice shelf	peristaltic pump	105	OSD105_2014-06-21_4.12m_NPL022	69.023323	-105.34339	69.023323	-105.34339	4.12	21/06/14	11:39:00-07	12:00:00-07	2014-06-21T18:39:00Z	2014-06-21T19:00:00Z	Northwestern Passages	5698	NPL022	-0.72	26.91	marine biome	447	surface water	2042	sea water	2149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7116	CAN	BPLR	Polar	Boreal Polar Province (POLR)	0	Beaufort Sea	0	osd_er_1	Beaufort-Amundsen-Viscount Melville-Queen Maud	Arctic	Arctic
ERS667560	SAMEA3275542	ABOKN07	No description	REYKIS	Microbial diversity	Small research vessel	Clean Water Bottles	106	OSD106_2014-06-20_0m_NPL022	65.9449	-22.4192	65.9449	-22.4192	0	20/06/14	11:00:00+00	13:00:00+00	2014-06-20T11:00:00Z	2014-06-20T13:00:00Z	North Atlantic Ocean	1912	NPL022	7.6	19	marine biome	447	surface water	2042	sea water	2149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1080	ISL	ARCT	Polar	Atlantic Arctic Province	0	Iceland Shelf and Sea	0	osd_er_5	South and West Iceland	Northern European Seas	Temperate Northern Atlantic
ERS667559	SAMEA3275541	ABOKM36	At bottom 	REYKIS	Microbial diversity	Small research vessel	Clean Water Bottles	106	OSD106_2014-06-20_15m_NPL022	65.9449	-22.4192	65.9449	-22.4192	15	20/06/14	11:30:00+00	12:30:00+00	2014-06-20T11:30:00Z	2014-06-20T12:30:00Z	North Atlantic Ocean	1912	NPL022	7.5	29.2	marine biome	447	surface water	2042	sea water	2149	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1080	ISL	ARCT	Polar	Atlantic Arctic Province	0	Iceland Shelf and Sea	0	osd_er_5	South and West Iceland	Northern European Seas	Temperate Northern Atlantic
ERS667558	SAMEA3275540	ABOKL57	OSD107-LISBOA	Lisboa	OSD2014 PORTUGAL MAINLAND	Ground	ACID WASHED RECIPIENT	107	OSD107_2014-06-20_0m_NPL022	39.14039	-9.38011	39.14039	-9.38011	0	20/06/14	09:50:00+00	10:10:00+00	2014-06-20T09:50:00Z	2014-06-20T10:10:00Z	North Atlantic Ocean	1912	NPL022	20.2	30	estuarine biome	1000020	surface water	2042	coastal sea water	2150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	243	PRT	CNRY	Coastal	Canary Coastal Province (EACB)	4.90717e-4	Iberian Coastal	193	osd_er_1	South European Atlantic Shelf	Lusitanian	Temperate Northern Atlantic
ERS667557	SAMEA3275539	ABOKM08	OSD108-ALCOCHETE	Alcochete	OSD2014 PORTUGAL MAINLAND	Ground	ACID WASHED RECIPIENT	108	OSD108_2014-06-20_0m_NPL022	38.757283	-8.966333	38.757283	-8.966333	0	20/06/14	11:40:00+00	11:50:00+00	2014-06-20T11:40:00Z	2014-06-20T11:50:00Z	North Atlantic Ocean	1912	NPL022	20.1	30	estuarine biome	1000020	surface water	2042	coastal sea water	2150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	508	PRT	CNRY	Coastal	Canary Coastal Province (EACB)	0	Iberian Coastal	0	osd_er_1	South European Atlantic Shelf	Lusitanian	Temperate Northern Atlantic
ERS667556	SAMEA3275538	ABOKL46	OSD109-ROSÃRIO	Rosário	OSD2014 @ PT MAINLAND	Ground	ACID WASHED RECIPIENT	109	OSD109_2014-06-20_0m_NPL022	38.676942	-9.012392	38.676942	-9.012392	0	20/06/14	11:00:00+00	11:10:00+00	2014-06-20T11:00:00Z	2014-06-20T11:10:00Z	North Atlantic Ocean	1912	NPL022	20.5	30	estuarine biome	1000020	surface water	2042	coastal sea water	2150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	PRT	CNRY	Coastal	Canary Coastal Province (EACB)	0.025869444	Iberian Coastal	0	osd_er_1	South European Atlantic Shelf	Lusitanian	Temperate Northern Atlantic
