station,date_time_utc,date_time_utc_2,lat,lon
TARA_001,2009-09-07T00:00,2009-09-07T00:00,44.415,-9.833
TARA_002,2009-09-09T00:00,2009-09-09T00:00,39.038,-10.79
TARA_003,2009-09-13T00:00,2009-09-13T00:00,36.672,-10.421
TARA_004,2009-09-15T00:00,2009-09-15T00:00,36.563,-6.553
TARA_005,2009-09-20T00:00,2009-09-20T00:00,36.03,-4.406
TARA_006,2009-09-21T00:00,2009-09-21T00:00,36.529,-4.251
TARA_007,2009-09-23T00:00,2009-09-23T00:00,37.031,1.948
TARA_008,2009-09-27T00:00,2009-09-27T00:00,38.011,3.966
TARA_009,2009-09-28T00:00,2009-09-28T00:00,39.112,5.82
TARA_010,2009-09-30T00:00,2009-09-30T00:00,40.668,2.865
TARA_011,2009-10-04T00:00,2009-10-04T00:00,41.666,2.798
TARA_012,2009-10-11T00:00,2009-10-11T00:00,43.348,7.899
TARA_013,2009-10-14T00:00,2009-10-14T00:00,37.987,8.068
TARA_014,2009-10-20T00:00,2009-10-20T00:00,39.902,12.858
TARA_015,2009-10-25T00:00,2009-10-26T00:00,38.933,14.53
TARA_016,2009-10-27T00:00,2009-10-27T00:00,37.398,15.454
TARA_017,2009-10-28T00:00,2009-10-28T00:00,36.258,14.306
TARA_018,2009-11-02T00:00,2009-11-02T00:00,35.756,14.288
TARA_019,2009-11-11T00:00,2009-11-11T00:00,34.216,13.865
TARA_020,2009-11-12T00:00,2009-11-12T00:00,34.451,14.973
TARA_021,2009-11-15T00:00,2009-11-15T00:00,37.511,17.284
TARA_022,2009-11-16T00:00,2009-11-16T00:00,39.729,17.4
TARA_023,2009-11-18T00:00,2009-11-18T00:00,42.176,17.729
TARA_024,2009-11-21T00:00,2009-11-21T00:00,42.457,17.956
TARA_025,2009-11-23T00:00,2009-11-23T00:00,39.333,19.421
TARA_026,2009-11-24T00:00,2009-11-24T00:00,38.431,20.188
TARA_027,2009-12-04T00:00,2009-12-04T00:00,34.094,32.934
TARA_028,2009-12-04T00:00,2009-12-04T00:00,34.278,32.985
TARA_029,2009-12-14T00:00,2009-12-14T00:00,33.928,35.342
TARA_030,2009-12-15T00:00,2009-12-15T00:00,33.929,32.789
TARA_031,2010-01-09T00:00,2010-01-09T00:00,27.151,34.819
TARA_032,2010-01-11T00:00,2010-01-11T00:00,23.391,37.254
TARA_033,2010-01-13T00:00,2010-01-13T00:00,22.057,38.218
TARA_034,2010-01-20T00:00,2010-01-20T00:00,18.445,39.884
TARA_036,2010-03-12T00:00,2010-03-12T00:00,20.824,63.524
TARA_037,2010-03-12T00:00,2010-03-13T00:00,20.828,63.6
TARA_038,2010-03-15T00:00,2010-03-16T00:00,19.017,64.576
TARA_039,2010-03-18T00:00,2010-03-20T00:00,18.647,66.463
TARA_040,2010-03-22T00:00,2010-03-22T00:00,17.5,67.984
TARA_041,2010-03-29T00:00,2010-03-30T00:00,14.582,70.011
TARA_042,2010-04-04T00:00,2010-04-04T00:00,5.992,73.919
TARA_043,2010-04-05T00:00,2010-04-05T00:00,4.66,73.489
TARA_044,2010-04-11T00:00,2010-04-11T00:00,2.806,71.52
TARA_045,2010-04-12T00:00,2010-04-13T00:00,0.941,71.71
TARA_046,2010-04-15T00:00,2010-04-15T00:00,-0.659,73.162
TARA_047,2010-04-16T00:00,2010-04-16T00:00,-2.042,72.164
TARA_048,2010-04-19T00:00,2010-04-19T00:00,-9.408,66.32
TARA_049,2010-04-23T00:00,2010-04-23T00:00,-16.808,59.504
TARA_050,2010-05-08T00:00,2010-05-09T00:00,-21.476,56.795
TARA_051,2010-05-10T00:00,2010-05-11T00:00,-21.476,54.283
TARA_052,2010-05-17T00:00,2010-05-17T00:00,-17.023,53.508
TARA_053,2010-05-24T00:00,2010-05-25T00:00,-13.07,46.923
TARA_054,2010-05-25T00:00,2010-05-26T00:00,-12.813,45.226
TARA_055,2010-06-25T00:00,2010-06-25T00:00,-14.219,43.985
TARA_056,2010-06-26T00:00,2010-06-26T00:00,-15.332,43.29
TARA_057,2010-06-27T00:00,2010-06-28T00:00,-17.026,42.742
TARA_058,2010-06-28T00:00,2010-06-29T00:00,-17.455,42.32
TARA_059,2010-06-30T00:00,2010-06-30T00:00,-19.063,40.803
TARA_060,2010-07-01T00:00,2010-07-01T00:00,-20.234,40.09
TARA_061,2010-07-02T00:00,2010-07-02T00:00,-21.366,39.547
TARA_062,2010-07-03T00:00,2010-07-04T00:00,-22.339,40.182
TARA_063,2010-07-05T00:00,2010-07-05T00:00,-24.482,38.688
TARA_064,2010-07-07T00:00,2010-07-08T00:00,-29.508,37.929
TARA_065,2010-07-12T00:00,2010-07-12T00:00,-35.226,26.334
TARA_066,2010-07-15T00:00,2010-07-15T00:00,-34.905,18.016
TARA_067,2010-09-06T00:00,2010-09-08T00:00,-32.292,17.206
TARA_068,2010-09-12T00:00,2010-09-14T00:00,-31.039,4.62
TARA_069,2010-09-17T00:00,2010-09-18T00:00,-24.126,2.609
TARA_070,2010-09-21T00:00,2010-09-22T00:00,-20.229,-3.413
TARA_071,2010-09-28T00:00,2010-09-28T00:00,-9.213,-9.728
TARA_072,2010-10-04T00:00,2010-10-06T00:00,-8.691,-18.006
